,reg,elev,mh,CO,open,needle,grass,erica,junip,tree,rhodo,rock,soil_mean,n_mean,elevation_dGPS,corr_distance,corr_distance_infertile,season,germinated_total_2016,germinated_total_15_16,germinated_total_0_2016,germinated_total_0_15_16,pH,T_mean,T_max,T_min,T_sd,snow_cover,growing_days,habitat,Latitude,Longitude,readnumbers
S2150B2_2,S,2150,B,99.84,0,25,25,0,0,15,0,35,17.28,0.032,2150.672363,0.5,0.5,September,0,0,5,5,5.28,4.204345703,27.5,-8.5,6.52729908,151.5,136.3333333,ecotone,46.73378351,9.851833621,7793
S2150B3_1,S,2150,B,99.84,10,30,0,0,0,20,40,0,0,0.002,2144.013184,0.5,0.5,May,0,0,5,5,4.42,4.233154297,34,-9,6.904803834,148.1666667,137.6666667,ecotone,46.73375396,9.85181554,10266
S2150B3_2,S,2150,B,99.84,10,30,0,0,0,20,40,0,0,0.002,2144.013184,0.5,0.5,September,0,0,3,5,4.36,4.233154297,34,-9,6.904803834,148.1666667,137.6666667,ecotone,46.73373104,9.851821228,7641
S2150B4_1,S,2150,B,99.84,0,0,50,50,0,0,0,0,25.7,0.034,2147.162109,0.5,6,May,0,0,5,5,3.98,NA,NA,NA,NA,NA,NA,ecotone,46.73370776,9.851889027,7984
S2150B4_2,S,2150,B,99.84,0,0,50,50,0,0,0,0,25.7,0.034,2147.162109,0.5,6,September,1,1,2,4,4.33,NA,NA,NA,NA,NA,NA,ecotone,46.7338347,9.851800974,5288
S2150V1_1,S,2150,V,82.16,10,0,60,30,0,0,0,0,14.22,0.02,2148.822021,3.5,3,May,0,0,5,5,3.8,4.967285156,52.5,-5,8.505043422,183.8333333,117,ecotone,46.73443336,9.853180913,3383
S2150V1_2,S,2150,V,82.16,10,0,60,30,0,0,0,0,14.22,0.02,2148.822021,3.5,3,September,0,2,4,3,3.99,4.967285156,52.5,-5,8.505043422,183.8333333,117,ecotone,46.73451614,9.853139502,14579
S2150V2_1,S,2150,V,99.84,10,0,10,70,0,0,10,0,44.78,0.064,2146.183838,0.5,3.5,May,0,0,5,5,3.83,4.784179688,59,-6,9.691796889,195.6666667,106.5,ecotone,46.7345626,9.853059071,10254
S2150V2_2,S,2150,V,99.84,10,0,10,70,0,0,10,0,44.78,0.064,2146.183838,0.5,3.5,September,0,2,5,3,3.98,4.784179688,59,-6,9.691796889,195.6666667,106.5,ecotone,46.73455063,9.853029857,13979
S2150V3_1,S,2150,V,99.84,0,0,25,70,0,5,0,0,11.38,0.024,2151.886719,0.5,7,May,0,0,5,5,3.93,3.797851563,35,-6.5,6.773421813,200,110.1666667,ecotone,46.7345172,9.853127707,5252
S2150V3_2,S,2150,V,99.84,0,0,25,70,0,5,0,0,11.38,0.024,2151.886719,0.5,7,September,0,2,5,3,4.32,3.797851563,35,-6.5,6.773421813,200,110.1666667,ecotone,46.73451195,9.853044151,12527
S2150V4_1,S,2150,V,99.84,0,0,25,70,0,0,5,0,36.8,0.03,2146.826416,2,7,May,0,0,5,5,3.84,NA,NA,NA,NA,NA,NA,ecotone,46.73451157,9.853039012,15171
S2150V4_2,S,2150,V,99.84,0,0,25,70,0,0,5,0,36.8,0.03,2146.826416,2,7,September,1,4,4,1,4.22,NA,NA,NA,NA,NA,NA,ecotone,46.7343918,9.853062385,3889
S2200B1_1,S,2200,B,99.84,15,20,0,45,0,10,0,10,14.56,0.006,2198.279053,0.5,0.5,May,0,0,5,5,3.94,5.53125,53.5,-6,9.941524193,160.8333333,130.3333333,ecotone,46.73470391,9.853751891,4201
S2200B1_2,S,2200,B,99.84,15,20,0,45,0,10,0,10,14.56,0.006,2198.279053,0.5,0.5,September,0,0,5,5,4.08,5.53125,53.5,-6,9.941524193,160.8333333,130.3333333,ecotone,46.7346781,9.853813147,28357
S2200B2_1,S,2200,B,99.84,0,10,0,85,0,5,0,0,9.62,0.018,2196.009766,0.5,0.5,May,0,0,5,5,4.17,4.007568359,39.5,-5,6.703254891,171.8333333,117.6666667,ecotone,46.7347,9.85393,9032
S2200B2_2,S,2200,B,99.84,0,10,0,85,0,5,0,0,9.62,0.018,2196.009766,0.5,0.5,September,1,1,4,4,4.3,4.007568359,39.5,-5,6.703254891,171.8333333,117.6666667,ecotone,46.73469105,9.853855715,21491
S2200B3_1,S,2200,B,52,25,15,10,40,0,10,0,0,24.88,0.038,2198.467529,0.5,0.5,May,0,0,5,5,3.8,3.902832031,45.5,-4.5,7.152114536,185.1666667,108.1666667,ecotone,46.73468818,9.853815454,6359
S2200B3_2,S,2200,B,52,25,15,10,40,0,10,0,0,24.88,0.038,2198.467529,0.5,0.5,September,0,1,5,4,4.02,3.902832031,45.5,-4.5,7.152114536,185.1666667,108.1666667,ecotone,46.73471,9.85388,11424
S2200B4_1,S,2200,B,99.84,15,0,0,60,0,5,0,20,30.72,0.038,2200.671875,0.5,8,May,0,0,5,5,4.02,NA,NA,NA,NA,NA,NA,ecotone,46.73474474,9.853884301,4704
S2200B4_2,S,2200,B,99.84,15,0,0,60,0,5,0,20,30.72,0.038,2200.671875,0.5,8,September,0,5,5,0,4.02,NA,NA,NA,NA,NA,NA,ecotone,46.73472892,9.853843859,9072
S2200V1_1,S,2200,V,99.84,15,0,0,80,0,0,0,5,23.82,0.056,2198.021484,1,1,May,0,0,5,5,3.98,5.859619141,59,-5,9.396477593,163.1666667,124.5,ecotone,46.73516724,9.854532574,5106
S2200V1_2,S,2200,V,99.84,15,0,0,80,0,0,0,5,23.82,0.056,2198.021484,1,1,September,0,0,5,5,4.13,5.859619141,59,-5,9.396477593,163.1666667,124.5,ecotone,46.73519825,9.854640103,16413
S2200V2_1,S,2200,V,99.84,25,0,0,75,0,0,0,0,11.8,0.042,2196.86084,0.5,6,May,0,0,5,5,3.74,5.428222656,62.5,-7.5,10.70417486,187.5,105.8333333,ecotone,46.73499775,9.854532049,13990
S2200V2_2,S,2200,V,99.84,25,0,0,75,0,0,0,0,11.8,0.042,2196.86084,0.5,6,September,0,0,5,5,3.89,5.428222656,62.5,-7.5,10.70417486,187.5,105.8333333,ecotone,46.73522226,9.854487659,24054
S2200V3_1,S,2200,V,99.84,15,0,0,85,0,0,0,0,60.56,0.078,2196.974121,2,8,May,0,0,5,5,3.9,5.017822266,58.5,-5.5,9.611724427,186.3333333,110.3333333,ecotone,46.73519617,9.85456829,10464
S2200V3_2,S,2200,V,99.84,15,0,0,85,0,0,0,0,60.56,0.078,2196.974121,2,8,September,0,1,5,4,4.1,5.017822266,58.5,-5.5,9.611724427,186.3333333,110.3333333,ecotone,46.73518448,9.854473904,5663
S2200V4_1,S,2200,V,99.84,25,0,0,75,0,0,0,0,8.72,0.012,2199.327881,3,7,May,0,0,5,5,3.87,NA,NA,NA,NA,NA,NA,ecotone,46.73525572,9.854650956,11245
S2200V4_2,S,2200,V,99.84,25,0,0,75,0,0,0,0,8.72,0.012,2199.327881,3,7,September,0,1,4,4,3.96,NA,NA,NA,NA,NA,NA,ecotone,46.7352075,9.854483991,11530
S2250B1_1,S,2250,B,99.84,10,0,65,25,0,0,0,0,46.44,0.044,2260.660889,302,302,May,0,0,5,5,4.05,4.091064453,47,-6,8.390440698,197.6666667,102.5,ecotone,46.73537993,9.855842302,6371
S2250B1_2,S,2250,B,99.84,10,0,65,25,0,0,0,0,46.44,0.044,2260.660889,302,302,September,0,0,4,5,4.4,4.091064453,47,-6,8.390440698,197.6666667,102.5,ecotone,46.73537656,9.855780101,18407
S2250B2_1,S,2250,B,99.84,10,0,45,45,0,0,0,0,54.86,0.046,2254.036377,302,302,May,0,0,5,5,4.11,4.395751953,40,-5,7.132581176,189,114.8333333,ecotone,46.73538663,9.855843255,6469
S2250B2_2,S,2250,B,99.84,10,0,45,45,0,0,0,0,54.86,0.046,2254.036377,302,302,September,0,1,4,4,4.28,4.395751953,40,-5,7.132581176,189,114.8333333,ecotone,46.73546621,9.855842856,8364
S2250B3_1,S,2250,B,99.84,5,0,55,40,0,0,0,0,60.04,0.022,2111.750732,302,302,May,0,0,5,5,4.08,4.805664063,50,-3.5,8.731898138,186,105,ecotone,46.73538592,9.855830996,12073
S2250B3_2,S,2250,B,99.84,5,0,55,40,0,0,0,0,60.04,0.022,2111.750732,302,302,September,0,0,4,5,4.2,4.805664063,50,-3.5,8.731898138,186,105,ecotone,46.73540446,9.855784998,10888
S2250B4_1,S,2250,B,99.84,5,0,45,50,0,0,0,0,54.96,0.042,2251.361084,302,302,May,0,0,5,5,4.12,NA,NA,NA,NA,NA,NA,ecotone,46.73542382,9.855772182,7832
S2250B4_2,S,2250,B,99.84,5,0,45,50,0,0,0,0,54.96,0.042,2251.361084,302,302,September,0,1,5,4,4.28,NA,NA,NA,NA,NA,NA,ecotone,46.73545243,9.855815464,20754
S2250V1_1,S,2250,V,99.84,0,0,50,50,0,0,0,0,47.88,0.032,2258.948975,302,302,May,0,0,5,5,3.99,5.073486328,56,-6,10.18929749,196,100.3333333,ecotone,46.73635578,9.857327066,13764
S2250V1_2,S,2250,V,99.84,0,0,50,50,0,0,0,0,47.88,0.032,2258.948975,302,302,September,0,0,3,5,4.4,5.073486328,56,-6,10.18929749,196,100.3333333,ecotone,46.73650729,9.857106555,4627
S2250V2_1,S,2250,V,99.84,5,0,5,90,0,0,0,0,39.8,0.018,2253.32251,302,302,May,0,0,5,5,4.18,4.020263672,55.5,-4.5,8.477027466,202.8333333,98.83333333,ecotone,46.7346349,9.853825639,10391
S2250V2_2,S,2250,V,99.84,5,0,5,90,0,0,0,0,39.8,0.018,2253.32251,302,302,September,0,0,5,5,4.4,4.020263672,55.5,-4.5,8.477027466,202.8333333,98.83333333,ecotone,46.73640336,9.857047737,16102
S2250V3_1,S,2250,V,99.84,5,0,5,90,0,0,0,0,28.92,0.056,2253.180908,302,302,May,0,0,5,5,3.83,3.643798828,44.5,-8.5,8.283063197,205.1666667,97.16666667,ecotone,46.73637786,9.857283009,21352
S2250V3_2,S,2250,V,99.84,5,0,5,90,0,0,0,0,28.92,0.056,2253.180908,302,302,September,0,0,5,5,4.08,3.643798828,44.5,-8.5,8.283063197,205.1666667,97.16666667,ecotone,46.73650517,9.857077012,13490
S2250V4_1,S,2250,V,99.84,10,0,10,80,0,0,0,0,39.78,0.05,2251.387451,302,302,May,0,0,5,5,4.26,NA,NA,NA,NA,NA,NA,ecotone,46.73645606,9.857104401,11981
S2250V4_2,S,2250,V,99.84,10,0,10,80,0,0,0,0,39.78,0.05,2251.387451,302,302,September,0,0,4,5,4.13,NA,NA,NA,NA,NA,NA,ecotone,46.73643316,9.857043424,3831
