,reg,elev,mh,CO,open,needle,grass,erica,junip,tree,rhodo,rock,soil_mean,n_mean,elevation_dGPS,corr_distance,corr_distance_infertile,season,germinated_total_2016,germinated_total_15_16,germinated_total_0_2016,germinated_total_0_15_16,pH,T_mean,T_max,T_min,T_sd,snow_cover,growing_days,habitat,Latitude,Longitude,readnumbers
D1950V3_2,D,1950,V,2.08,10,0,20,70,0,0,0,0,45.3,0.012,1986.937988,6,6,September,0,0,4,5,4.41,4.067626953,21,-1,4.943149378,150.6666667,133.5,mixed,46.80231922,9.905479069,12162
D1950V4_1,D,1950,V,6.24,20,0,50,30,0,0,0,0,31.02,0.044,1988.031616,2.5,2.5,May,0,0,5,5,3.46,NA,NA,NA,NA,NA,NA,mixed,46.80231575,9.9055214,4709
D1950V4_2,D,1950,V,6.24,20,0,50,30,0,0,0,0,31.02,0.044,1988.031616,2.5,2.5,September,2,3,3,2,4,NA,NA,NA,NA,NA,NA,mixed,46.80235682,9.905493397,8778
D2000B1_1,D,2000,B,0,0,80,0,15,0,5,0,0,7.04,0.006,2023.553589,0.5,0.5,May,0,0,5,5,4.28,3.704589844,33,-9.5,6.722726727,155.3333333,127.6666667,pine,46.80233381,9.907577196,9881
D2000B1_2,D,2000,B,0,0,80,0,15,0,5,0,0,7.04,0.006,2023.553589,0.5,0.5,September,0,0,5,5,4.56,3.704589844,33,-9.5,6.722726727,155.3333333,127.6666667,pine,46.80233359,9.907663058,8115
D2000B2_1,D,2000,B,0,0,90,10,0,0,0,0,0,0,0,2026.736328,1,1,May,0,0,5,5,3.23,4.095703125,38,-7.5,6.696879024,151.8333333,132.3333333,pine,46.8024271,9.907599911,9754
D2000B2_2,D,2000,B,0,0,90,10,0,0,0,0,0,0,0,2026.736328,1,1,September,1,1,4,4,4.96,4.095703125,38,-7.5,6.696879024,151.8333333,132.3333333,pine,46.80246643,9.907530799,20073
D2000B3_1,D,2000,B,0,0,35,30,35,0,0,0,0,5.48,0.012,2022.409546,1,1,May,0,0,5,5,3.61,3.480957031,37,-6.5,5.916028476,175.6666667,118.5,pine,46.80233074,9.907655683,12031
D2000B3_2,D,2000,B,0,0,35,30,35,0,0,0,0,5.48,0.012,2022.409546,1,1,September,3,3,2,2,4.64,3.480957031,37,-6.5,5.916028476,175.6666667,118.5,pine,46.80236517,9.907680653,29697
D2000B4_1,D,2000,B,0,0,50,25,0,0,25,0,0,11.42,0.012,2023.006104,0.5,0.5,May,0,0,5,5,3.6,NA,NA,NA,NA,NA,NA,pine,46.80239817,9.907611009,9135
D2000B4_2,D,2000,B,0,0,50,25,0,0,25,0,0,11.42,0.012,2023.006104,0.5,0.5,September,1,1,3,4,4.37,NA,NA,NA,NA,NA,NA,pine,46.80243322,9.90758455,16216
D2000V1_1,D,2000,V,0,20,0,30,50,0,0,0,0,29.08,0.032,2025.247437,5,5,May,0,0,5,5,3.67,3.653076172,25,-3,5.450347023,179.5,119.6666667,pine,46.80214966,9.909210842,7488
D2000V1_2,D,2000,V,0,20,0,30,50,0,0,0,0,29.08,0.032,2025.247437,5,5,September,0,0,4,4,3.98,3.653076172,25,-3,5.450347023,179.5,119.6666667,pine,46.80220772,9.909155341,7162
D2000V2_1,D,2000,V,0,20,0,40,40,0,0,0,0,23.96,0.024,2025.094971,2,2,May,0,0,5,5,4.36,4.013183594,25,-2.5,5.437891271,180.1666667,120.6666667,pine,46.80215061,9.909155206,6756
D2000V2_2,D,2000,V,0,20,0,40,40,0,0,0,0,23.96,0.024,2025.094971,2,2,September,0,0,5,2,4.24,4.013183594,25,-2.5,5.437891271,180.1666667,120.6666667,pine,46.80222843,9.909022529,9809
D2000V3_1,D,2000,V,0,25,25,25,25,0,0,0,0,15.74,0.016,2027.219849,2,2,May,0,0,5,5,3.86,2.993896484,34,-12.5,6.290212064,189.8333333,111.5,pine,46.80212339,9.909250621,6531
D2000V3_2,D,2000,V,0,25,25,25,25,0,0,0,0,15.74,0.016,2027.219849,2,2,September,0,0,5,5,4.5,2.993896484,34,-12.5,6.290212064,189.8333333,111.5,pine,46.80219294,9.909161126,5826
D2000V4_1,D,2000,V,1.04,20,0,40,40,0,0,0,0,14.06,0.012,2020.058228,4,4,May,0,0,5,5,3.85,NA,NA,NA,NA,NA,NA,pine,46.80214211,9.909143333,5698
D2000V4_2,D,2000,V,1.04,20,0,40,40,0,0,0,0,14.06,0.012,2020.058228,4,4,September,0,1,5,4,4.44,NA,NA,NA,NA,NA,NA,pine,46.80225458,9.909172445,7108
D2050B1_1,D,2050,B,0,40,5,0,0,0,30,0,25,17.62,0.008,2071.318848,1,1,May,0,0,5,5,3.93,4.209228516,51.5,-8.5,7.842617019,160.1666667,127.3333333,pine,46.80276947,9.911918824,20434
D2050B1_2,D,2050,B,0,40,5,0,0,0,30,0,25,17.62,0.008,2071.318848,1,1,September,0,0,5,5,4,4.209228516,51.5,-8.5,7.842617019,160.1666667,127.3333333,pine,46.8027753,9.911885822,921
D2050B2_1,D,2050,B,83.2,0,15,0,60,0,25,0,0,23.92,0.014,2069.520508,0.5,5,May,0,0,5,5,3.71,5.339355469,51.5,-4.5,9.211397964,186.5,118.3333333,pine,46.80284025,9.91187441,4681
D2050B2_2,D,2050,B,83.2,0,15,0,60,0,25,0,0,23.92,0.014,2069.520508,0.5,5,September,0,1,5,4,4.3,5.339355469,51.5,-4.5,9.211397964,186.5,118.3333333,pine,46.80285694,9.911812039,12862
D2050B3_1,D,2050,B,1.04,20,55,0,15,0,10,0,0,18.34,0.024,2071.421631,0.5,0.5,May,0,0,5,5,3.66,4.052978516,26,-4,5.992891972,178.6666667,121,pine,46.80278539,9.911903825,8170
D2050B3_2,D,2050,B,1.04,20,55,0,15,0,10,0,0,18.34,0.024,2071.421631,0.5,0.5,September,2,2,3,3,3.93,4.052978516,26,-4,5.992891972,178.6666667,121,pine,46.80280282,9.911857635,10745
D2050B4_1,D,2050,B,0,0,70,0,0,0,0,0,30,6.4,0.006,2072.899658,0.5,0.5,May,0,0,5,5,4.13,NA,NA,NA,NA,NA,NA,pine,46.80284,9.9118,29254
D2050B4_2,D,2050,B,0,0,70,0,0,0,0,0,30,6.4,0.006,2072.899658,0.5,0.5,September,0,1,5,4,4.65,NA,NA,NA,NA,NA,NA,pine,46.80278554,9.911811891,14085
D2050V1_1,D,2050,V,6.24,0,40,10,50,0,0,0,0,28.6,0.042,2071.939453,3.5,3.5,May,0,0,5,5,3.69,5.163818359,73,-1.5,9.810858787,183,117,pine,46.73294106,9.846692258,21803
D2050V1_2,D,2050,V,6.24,0,40,10,50,0,0,0,0,28.6,0.042,2071.939453,3.5,3.5,September,0,0,5,5,4.01,5.163818359,73,-1.5,9.810858787,183,117,pine,46.73293027,9.846722801,5690
D2050V2_1,D,2050,V,33.28,20,0,0,70,0,0,5,5,27.36,0.024,2071.207275,3,6,May,0,0,5,5,4,4.712158203,52,-3,8.108436061,187.6666667,118.1666667,pine,46.73295858,9.846762809,13472
D2050V2_2,D,2050,V,33.28,20,0,0,70,0,0,5,5,27.36,0.024,2071.207275,3,6,September,0,0,5,5,4.24,4.712158203,52,-3,8.108436061,187.6666667,118.1666667,pine,46.73292,9.84685,4915
D2050V3_1,D,2050,V,30.16,0,0,40,45,0,0,0,15,42.66,0.03,2071.260254,4,0.5,May,0,0,5,5,3.6,4.324951172,35.5,-2,6.344278952,178,119.8333333,pine,46.73293523,9.846696009,22942
D2050V3_2,D,2050,V,30.16,0,0,40,45,0,0,0,15,42.66,0.03,2071.260254,4,0.5,September,0,1,5,4,4.15,4.324951172,35.5,-2,6.344278952,178,119.8333333,pine,46.73293619,9.846755875,9719
